temperature,volume,error
56,35688.71175853333,1.765135758328045
57,35692.749995699996,1.8053822236252621
58,35706.86080383333,1.7431480796886392
59,35684.7803862,1.9523956028834535
60,35702.06273703334,1.718445556866123
61,35698.21638076666,2.0800680577071895
62,35688.95730673333,2.1174746459218774
63,35698.787462199994,1.1571505838815486
64,35711.95087833334,2.2029826085927366
65,35683.244226366674,1.882104363391711
66,35720.358319633335,2.3559603350111193
67,35696.617040599995,2.0473624101589425
68,35692.78739023332,1.8350893681409661
69,35693.22813083333,2.767410126142161
70,35706.98508363333,1.5002730001894986
71,35732.872687033334,2.408779367595177
72,35702.82690026667,1.9599928856766222
73,35714.74911703334,2.5325182395641814
74,35746.76450783334,2.0957143166824763
75,35717.46751433333,2.461228387971489
76,35718.43649113333,1.7866188858154788
77,35738.11038333333,2.672114201962045
78,35709.83776376666,2.067337866159143
79,35689.504224200005,2.8619099954914717
80,35757.82968586667,2.1411532762029255
81,35709.82946493334,3.2456913756688217
82,35741.212684633334,3.0287089845983592
83,35703.45511226667,2.0610413723044148
84,35730.879397766665,3.321977538996809
85,35739.16652153334,3.4611340317485206
86,35737.59601653333,3.5332362838122275
87,35727.1136302,3.587995304244073
88,35737.33119060001,4.011904316933199
89,35737.877211533334,4.9810058497222744
90,35744.924933966664,4.900257433315761
91,35733.165391266666,4.290388576196174
92,35763.49045233333,3.170221375737624
93,35764.687708766665,5.942336815252906
94,35777.3529143,3.347836439528371
95,35721.51432296667,5.193302413636023
96,35745.4261427,4.184355063416723
97,35731.02933323333,4.2071216890627445
98,35750.24267763333,3.5852457601243715
99,35753.2800462,2.9920691187372057
100,35755.7668549,4.704751013473397
101,35800.85723776667,3.6573633571190087
102,35776.650699666665,3.7463311172941296
103,35766.09640359999,3.6998218412625197
104,35791.36909986666,4.848430234793839
105,35761.192087999996,4.60624710728377
106,35752.654122533335,3.9316256367089597
107,35771.646775299996,5.056793128506456
108,35781.316862700005,2.311824721983553
109,35770.0930255,3.8420594197790394
110,35742.82337326666,3.16166664536571
111,35782.909239466666,3.0935197730472157
112,35795.98899703333,2.3433506022983246
113,35767.295246233334,4.402887796010729
114,35800.468077800004,5.560247015460502
115,35775.00722196666,3.6525742078680534
116,35806.18789636666,2.878094375806323
117,35800.2468761,3.617686597022735
118,35774.0660004,3.31987279519986
119,35754.78422666666,2.1234754929104245
120,35785.252080433325,3.3414412168815164
121,35787.73986,2.2790654814535563
122,35781.7486622,2.5780597156693656
123,35793.52024216666,3.8551397353751926
