temperature,energy,error
166,-3.0556842496566667,3.662685937003248e-05
167,-3.0583064103866664,3.842342375463514e-05
168,-3.055331494086667,0.0009167378440494
169,-3.0577732488466665,3.638306771657986e-05
170,-3.0466923014233336,3.766019292494911e-05
171,-3.057203456133333,3.762736206838248e-05
172,-3.05409750963,3.785460021370498e-05
173,-3.056723637796667,3.635430017649826e-05
174,-3.056426887993333,4.03169440392698e-05
175,-3.0561277975900003,4.245333140889985e-05
176,-3.0559287984266668,3.821657049101892e-05
177,-3.05277165871,3.859318013304749e-05
178,-3.05539532906,3.953081005729424e-05
179,-3.05223724749,3.953469476849609e-05
180,-3.054881594306667,4.24728586120271e-05
181,-3.0546283423933334,3.875966956736214e-05
182,-3.0543090095166665,3.9536137404807945e-05
183,-3.04883669988,3.933483632751591e-05
184,-3.0499181454733333,4.381929186433141e-05
185,-3.053510575706667,3.909659538427378e-05
186,-3.053246095103333,4.366433294758698e-05
187,-3.0530257669366665,4.214455135127156e-05
188,-3.0527054971433336,4.575459530120111e-05
189,-3.052477211103333,4.22672282451095e-05
190,-3.0521461476400003,4.5560250100959336e-05
191,-3.043538926026667,0.0012080840577459
192,-3.0488294824633333,4.205537399502934e-05
193,-3.0514281373433336,4.495609615496976e-05
194,-3.05117375426,4.236614325625544e-05
195,-3.05091667846,4.174523542043664e-05
196,-3.050604528863333,4.360579099389329e-05
197,-3.0503790795466665,4.540156918634352e-05
198,-3.04871695396,0.0008423688878425
199,-3.0498049511666667,4.620264564541312e-05
200,-3.049605000946667,4.4251599049517945e-05
201,-3.049350424283333,4.438034705733273e-05
202,-3.049043047523333,4.867918711419508e-05
203,-3.048792611756667,4.333212198030608e-05
204,-3.048421775313334,4.791473590081178e-05
205,-3.048229740853333,4.348090006142286e-05
206,-3.04795137419,4.6083353552488005e-05
207,-3.0476938225733328,4.720766773016928e-05
208,-3.0474475188766674,4.953347441675127e-05
209,-3.0471795855566666,4.4877669978651e-05
210,-3.0469514515700005,5.2619414412197645e-05
211,-3.046616727933334,4.809681515331518e-05
212,-3.046354684916667,4.994835447624674e-05
213,-3.0460769125166665,5.32530914565967e-05
214,-3.0446007235,0.0008645757865481
215,-3.0456253625966667,4.991492122734352e-05
216,-3.04535765988,4.467320934182903e-05
217,-3.04503285096,4.729619543605917e-05
218,-3.0447412605833333,4.472959200530034e-05
219,-3.044510293633333,5.213919163770395e-05
220,-3.04429635354,4.486141512760054e-05
221,-3.044029341996666,4.707508774713398e-05
222,-3.0435075637033338,0.0001914113451815
223,-3.0435053956666667,4.921187138448496e-05
224,-3.0403397797466667,4.816702398900588e-05
225,-3.040047210433333,5.178425956199218e-05
226,-3.04267054255,5.204135912124471e-05
227,-3.041904241923333,0.0004359115885224
228,-3.0413384449,0.0006521155576195
229,-3.0338389919766677,0.0003490827597097
230,-3.0376491451466667,5.2198042159240994e-05
231,-3.0413499131600004,4.982297229145288e-05
232,-3.0410405068333337,5.516647418046752e-05
233,-3.0408329021433333,5.204714425781232e-05
234,-3.040512597866667,5.537987873755929e-05
235,-3.0403526661066667,5.109340826030153e-05
236,-3.0371128592333334,5.2328514979483175e-05
237,-3.0397829994066665,5.912631509696558e-05
238,-3.0366178810766664,5.2437201749596514e-05
239,-3.039192263926666,5.1160354583110566e-05
240,-3.0389365188099995,5.122307108856619e-05
241,-3.0387278614899995,5.475609595858977e-05
242,-3.0383844137733336,5.695146287307697e-05
243,-3.0381693016433338,5.460417623558132e-05
244,-3.0379003717,5.7817592276514026e-05
245,-3.03763752228,5.406788906662516e-05
246,-3.037392515583333,5.582410733070487e-05
247,-3.0370928179133334,5.111823634666318e-05
248,-3.0334033557833338,0.0004866755978571
249,-3.03655572783,5.178513344875176e-05
250,-3.03631717266,5.683598399147684e-05
251,-3.03555952789,0.0003801439508283
252,-3.0357278358300004,5.662801532494454e-05
253,-3.03546982437,5.7620458578176646e-05
254,-3.034787783646667,0.0003636509633397
255,-3.0349682430233336,5.864828519182814e-05
256,-3.0227978355500005,8.107103479334054e-05
257,-3.02829267193,5.534031654772847e-05
258,-3.03415857948,5.596671586163856e-05
259,-3.0338456303466663,5.994224994021984e-05
260,-3.029222062453333,0.0008618459636013
261,-3.0333041036633333,5.560605507782829e-05
262,-3.033113671526667,5.981250155825944e-05
263,-3.031906565026667,0.0007262591870915
264,-3.032541547733334,5.968434536132293e-05
265,-3.032274107893333,5.726456929815265e-05
266,-3.0315495692433334,0.0004037543833529
267,-3.0307437872266667,0.0007678873130811
268,-3.02852917955,6.577651459039467e-05
269,-3.0312351850566666,5.9199042866595216e-05
270,-3.03092459357,6.589893218288786e-05
271,-3.03063986617,6.679855686394052e-05
272,-3.02913755096,0.000855312635823
273,-3.0301498736266668,5.735161481285236e-05
274,-3.029838679203333,6.387968667891576e-05
275,-3.02957020482,6.600336113368093e-05
276,-3.029354595663333,5.918417181983644e-05
277,-3.029066444153333,6.290356671037182e-05
278,-3.02018020793,0.000683547679239
279,-3.02848740709,6.27052510440595e-05
280,-3.025646338173333,0.0017771462608293
281,-3.027962025896667,6.474773467268718e-05
282,-3.02763256959,6.296050161142341e-05
283,-3.027427146943333,7.189577918814032e-05
284,-3.01737528651,0.0022842527991822
285,-3.0248588836533337,0.0014659477295741
286,-3.02666208287,5.947160901061124e-05
287,-3.0263446550766666,6.595895327946159e-05
288,-3.026069494803333,6.28121797553056e-05
289,-3.02571290744,6.527619494463718e-05
290,-3.0255393031933333,5.823311644827093e-05
291,-3.025269569193333,6.533090479907585e-05
292,-3.024965888116666,6.64276711516764e-05
293,-3.0236413232866663,0.000938812995796
294,-3.0214917590466666,6.0969870858881385e-05
295,-3.02419543489,6.944513051695137e-05
296,-3.023890891243333,6.880315415599317e-05
297,-3.023698349646667,6.823931329805064e-05
298,-3.023403634566667,6.376823183863176e-05
299,-3.01284580237,6.918027143978249e-05
300,-3.00938608133,0.000831888118128
