temperature,Cp,error
119,0.2043448394002046,0.0016684964355105879
120,0.2499475601356942,0.0020408472970252878
121,0.2082401556226532,0.0017003020893818525
122,0.2138744451852425,0.0017463066377688247
123,0.2279892901080977,0.0018615557848023125
124,0.23898034864034,0.0019512988976568481
125,0.2174669976282059,0.0017756401945303432
126,0.2507393978104666,0.0020473127323244553
127,0.2077143427362307,0.001696008773586276
128,0.2334778526464609,0.0019063704571875588
129,0.2359292298348495,0.0019263862017149162
130,0.2254421339984028,0.0018407579956230536
131,0.2346253863043577,0.0019157401864327364
132,0.2242088096314194,0.0018306877764965015
133,0.2388888826794541,0.00195055206876625
134,0.2346703070910762,0.0019161069692335165
135,0.2290998342422778,0.0018706234908172795
136,0.2278391417659396,0.0018603298082891598
137,0.2263224883794653,0.0018479461788485285
138,0.2235437331554909,0.001825257359302283
139,0.2182411972739459,0.001781961613525226
140,0.2175246773577959,0.0017761111553997472
141,0.2503779843655891,0.0020443617547206473
142,0.2107989326625155,0.0017211947646400482
143,0.2161402598879125,0.0017648072456923178
144,0.2493993993541334,0.0020363715083887585
145,0.2243436265486394,0.0018317885703628323
146,0.2041182730161081,0.001666646497898358
147,0.2138767837682774,0.0017463257325375956
148,0.2128603049901829,0.0017380260797398989
149,0.241315681252563,0.0019703671263953996
150,0.2276850787656973,0.0018590718681938637
151,0.2247760786535401,0.0018353195858642453
152,0.2174268315321631,0.0017753122342634116
153,0.225332794472134,0.0018398652272498693
154,0.2115838551849681,0.0017276037370159017
155,0.2416213587110946,0.0019728630139914504
156,0.2239102521083687,0.0018282500238991416
157,0.2171805518033637,0.0017733013351829824
158,0.2197375434497759,0.0017941794325217343
159,0.2242051323764369,0.001830657751334874
160,0.2344377047998789,0.0019142077478247772
161,0.2382099070670214,0.0019450081637062161
162,0.2267444735832832,0.0018513917310360708
163,0.2460112946186471,0.00200870728799108
164,0.2179315467687241,0.0017794332855981146
165,0.2301266337107165,0.001879007413103268
166,0.2178446662520785,0.0017787238973269745
167,0.2249343128649036,0.0018366115843233733
168,0.9338952128341128,0.007625349572456876
169,0.2080192853057094,0.0016984986607383277
170,0.2139385429424447,0.0017468300024876498
171,0.2138785775693942,0.0017463403791064945
172,0.21514073335321,0.001756646009689273
173,0.2028002523383298,0.0016558847247639973
174,0.2253264846921751,0.0018398137072535672
175,0.2411078250237605,0.0019686699591076246
176,0.2121772993231196,0.0017324492688731619
177,0.2092546092223704,0.0017085852063917423
178,0.2221621835692191,0.001813976866156767
179,0.2201055303355134,0.0017971840829399677
180,0.2306298366739734,0.0018831161165723494
181,0.2040570117269232,0.001666146293229917
182,0.2138512242588364,0.0017461170365386124
183,0.2113180580648332,0.0017254334764464849
184,0.2352972373286627,0.0019212259185047444
185,0.1983915973217924,0.001619887607332114
186,0.2258121938141426,0.001843779571725978
187,0.2188017875188854,0.0017865388899967484
188,0.234639697270649,0.0019158570369307273
189,0.2208704213524409,0.0018034294960320898
190,0.2363440428191261,0.0019297731919990873
191,1.2194552375366858,0.00995697627141858
192,0.2091178518839742,0.0017074685687887877
193,0.2288940005783262,0.0018689428379776022
194,0.2091223702452297,0.0017075054616688394
195,0.2118142384882146,0.001729484840161918
196,0.2117329902633599,0.0017288214401271556
197,0.2236452479199155,0.001826086237697702
198,0.5896837173310678,0.004814827638091724
199,0.230035832449765,0.0018782660115553643
200,0.214234457575356,0.0017492461756177234
201,0.2153762802914518,0.001758569274441177
202,0.2349065640082386,0.0019180360310356505
203,0.2071657448945499,0.001691529416309332
204,0.2297554641288605,0.0018759767756469248
205,0.2052610470858506,0.0016759773646212756
206,0.2133838847268789,0.0017423011616404106
207,0.2255380753374851,0.0018415413664326459
208,0.2327515475154777,0.0019004401017858978
209,0.208697118090617,0.00170403323449517
210,0.2446394884236877,0.001997506350628437
211,0.2204331881478107,0.0017998594423642132
212,0.2240587805234969,0.001829462773543032
213,0.2514166882525125,0.0020528428777965694
214,0.5686849112564282,0.004643370246809646
215,0.2265695159115298,0.0018499631838188148
216,0.2000243792488386,0.0016332194381394839
217,0.2095337005939551,0.0017108640158788704
218,0.1991882497837103,0.001626392355858929
219,0.2304893862985542,0.0018819693249457984
220,0.1935344558575956,0.0015802285523563663
221,0.2078004416571317,0.0016967117800485204
222,0.2739772226047328,0.002237051939598088
223,0.2151507470802452,0.0017567277727908687
224,0.2074937309610868,0.0016942074559628914
225,0.2213072413474516,0.001806996175801319
226,0.2238285883181641,0.0018275832307309528
227,0.3812654611388099,0.0031130713394114124
228,0.4576533203637078,0.0037367859935574527
229,0.3213117837080299,0.0026235434541825777
230,0.220179097508571,0.0017977847664041428
231,0.2059346330231427,0.0016814772624346027
232,0.2252323041585882,0.0018390447136002628
233,0.2170858223232657,0.00177252785932548
234,0.2275651390086108,0.0018580925478559377
235,0.2121943846050216,0.001732588771940804
236,0.2158501517044902,0.0017624384828139731
237,0.2432749302204424,0.001986364593856676
238,0.2160570487706939,0.0017641278184413944
239,0.2107822882402584,0.001721058861236328
240,0.2047709835914223,0.0016719759462540315
241,0.2188632782548595,0.0017870409681216026
242,0.2309381930463211,0.0018856338777726775
243,0.2182298244996316,0.001781868753664116
244,0.2313766328352937,0.0018892137833246552
245,0.2126337325300045,0.001736176092515841
246,0.2203314466744601,0.0017990287128673132
247,0.1989368855906503,0.0016243399416097284
248,0.3535154652154522,0.0028864897950990715
