temperature,B
211,60.590715306061746
212,61.28572790660573
213,63.47475480236385
214,44.21046228411266
215,48.11719003039278
216,64.90651477595944
217,59.02699469505603
218,61.40792448536735
219,43.263540769465486
220,69.58456245228035
221,64.85046542195464
222,62.07071541652486
223,64.35754435328914
224,47.50746598063616
225,79.61730192715079
226,64.54024931939313
227,62.91674813404873
228,51.61471918553345
229,37.45991829962408
230,56.159390787542584
231,52.12663488703098
232,68.72153203998865
233,59.79084660553203
234,57.142598679534125
235,55.54574968150971
236,91.25578588020943
237,56.329787927686
238,50.80200010877222
239,62.65434088195952
240,55.06338097236388
241,58.269751796740834
242,89.40429332729839
243,72.8186619680719
244,60.83868406614468
245,61.45751495473247
246,58.83759399616759
247,67.64555425670659
248,69.11983032982197
249,54.075491206910414
250,61.723132843984644
251,51.31449987553126
252,50.94572605357224
253,83.60920748843473
254,39.48288698725191
255,43.76640914699942
256,39.24525422330429
257,81.40233972244266
258,59.238794264571084
259,59.771059551058684
260,69.46296297322031
261,100.25752992028644
262,57.93684523126346
263,45.12953265332017
264,65.36670300673136
265,62.064831003074865
266,49.78358666982365
267,52.08712687336807
268,43.452676415915136
269,54.63454815029103
270,49.32002764135882
271,47.40663177422081
272,45.52836665114777
273,65.3776114999289
274,44.57250596997001
275,50.457719372107
276,57.82770284055586
277,95.29312073160658
278,41.71180704159552
279,50.23522783783521
280,52.161352502945874
281,48.86079272454912
282,190.21029146126725
283,61.19115549183144
284,45.493489556343874
285,40.73689048527739
286,81.76969148475557
287,63.15024714242688
288,92.81717795699693
289,66.73823906722421
290,68.77824826743186
291,67.56933178682495
292,53.82688197992137
293,67.97028274187721
294,76.71405133889917
295,49.20561845675736
296,47.507115421271735
297,45.29536475536485
298,52.212142135901566
299,62.6331256247953
300,43.13673954341883
