temperature,a,a error,c,c error
39,5.854517995923333,7.99510461336111e-05,3.2169330640033333,4.3931405772443854e-05
40,5.8545135121900005,7.2971318788472e-05,3.2169306002833333,4.009620463073588e-05
41,5.85458985157,7.15673452162659e-05,3.2169725473,3.9324725367816754e-05
42,5.85543913025,6.104151743584444e-05,3.217439207326667,3.354100262607283e-05
43,5.854886136946667,7.957531599388913e-05,3.2171353496533337,4.37249397107493e-05
44,5.853992263930001,9.128246855943634e-05,3.2166441853066665,5.01577683250828e-05
45,5.854614234853334,0.0001057400250855,3.2169859452633336,5.8101894067218783e-05
46,5.855870493106666,7.479441169139823e-05,3.2176762321866668,4.109794479408372e-05
47,5.855941047076667,8.15707930243486e-05,3.2177150002,4.482139427490848e-05
48,5.855336916890002,8.887181806027792e-05,3.2173830438233333,4.8833151919639817e-05
49,5.856071083,9.501595195756904e-05,3.2177864522500004,5.220925566073799e-05
50,5.8561828300566665,9.492319571826404e-05,3.2178478547433333,5.215827023544244e-05
51,5.855084576703334,0.0001024304661981,3.217244388193333,5.628335907387806e-05
52,5.8564912543266665,9.408256446298114e-05,3.2180173275733326,5.169634765072499e-05
53,5.85596444898,0.0001102395799863,3.21772785882,6.0574298196421474e-05
54,5.85446694975,0.0001316498216398,3.2169050151366663,7.233879374244144e-05
55,5.85592346086,0.0001186497113991,3.2177053370866666,6.519550477838679e-05
56,5.8562970216000005,0.0001113062396225,3.217910600863333,6.11604128664739e-05
57,5.856220489906667,9.591038337708424e-05,3.217868547936667,5.270072276136185e-05
58,5.856919491293333,0.0001049180073624,3.2182526346633336,5.765021321456384e-05
59,5.8558439383700005,0.0001112368600325,3.217661641053333,6.112231111032824e-05
60,5.857212240993334,0.0001079501927433,3.2184134941366667,5.931633535886496e-05
61,5.856258182566667,0.0001152575900642,3.217889259183333,6.3331606023528e-05
62,5.856552609313334,9.137831235677232e-05,3.2180510408500003,5.0210432311933934e-05
63,5.857235268819999,0.0001116100752306,3.218426147446667,6.132737124365937e-05
64,5.855880440016668,0.0001443052237897,3.2176816980500003,7.929263277532037e-05
65,5.85685587064,0.0001226838342624,3.2182176762866663,6.741215892350052e-05
66,5.85697215089,0.0001299782680776,3.2182815697766665,7.142030535971995e-05
67,5.857584885066666,0.0001061855874041,3.218618254073333,5.8346713835381207e-05
68,5.858160226563333,0.0001203792515445,3.218934392,6.614582787133554e-05
69,5.85742419871,0.0001041034877111,3.218529960206668,5.720263839483286e-05
70,5.857785507003333,0.0001180255203214,3.218728491553333,6.485250045259193e-05
71,5.85750190106,0.0001021327539012,3.21857265639,5.6119799330032464e-05
72,5.857435805956667,0.0001137989337837,3.2185363384733336,6.253009984659471e-05
73,5.858927881076666,0.0001072923866085,3.219356201883333,5.895488158238758e-05
74,5.858469480676667,0.0001039898836338,3.2191043207666663,5.714022521654397e-05
75,5.858485809459999,0.0001038383037744,3.219113292886667,5.705693006829508e-05
76,5.85806506531,0.0001170108068255,3.218882103046666,6.429495563698265e-05
77,5.858727557406667,0.0001412710173081,3.21924612876,7.762544827780504e-05
78,5.85830916292,0.0001193543573809,3.219016229766667,6.558270168501398e-05
79,5.858753617973334,0.0001337089809255,3.2192604482166662,7.34702475754097e-05
80,5.8583414390033335,0.0001473280676516,3.219033964633333,8.095361625616914e-05
81,5.859455792266667,0.0001057307778994,3.21964627798,5.809682435626733e-05
82,5.859321508166667,0.0001213044334172,3.21957249155,6.665422843539133e-05
83,5.858524900343333,0.0001606972719259,3.2191347723533337,8.829971394297278e-05
84,5.858634739149999,0.0001430675347322,3.2191951264100003,7.861258998380237e-05
85,5.85891990112,0.0001327272947283,3.219351817163333,7.293083850503501e-05
86,5.859585122486668,0.0001410571277768,3.219717342303333,7.750788830335209e-05
87,5.860149484906667,0.0001180483236928,3.22002744734,6.486506105733196e-05
88,5.860586026466666,0.0001189689009188,3.220267317733333,6.537085813451364e-05
89,5.8588719183,0.0001714166686318,3.2193254514333325,9.41898181116326e-05
90,5.859429619299999,0.0001854325719281,3.2196318962666663,0.0001018912589289
91,5.860215851896666,0.0001647928694226,3.220063914833333,9.055018394769988e-05
92,5.859666606596667,0.0001845307865823,3.2197621160400005,0.0001013957467907
93,5.859724183943333,0.0001357193487784,3.219793753563333,7.457486669610129e-05
94,5.859906333976666,0.0001605573080061,3.219893841003333,8.822284071219621e-05
95,5.861262958526667,0.0001158906041884,3.2206392769833334,6.367940581646737e-05
96,5.860336867749999,0.0001499210346418,3.22013041052,8.23784251587788e-05
97,5.86040595194,0.0001489324901165,3.22016837066,8.183525157723e-05
98,5.861415907806667,0.0001319156872216,3.2207233196700003,7.248484687447049e-05
99,5.8610431903033335,0.0001492523476335,3.220518519593333,8.20110268356851e-05
100,5.86104629646,0.000136498022881,3.2205202262266663,7.500279363251565e-05
101,5.86192522151,0.0001234516031626,3.2210031770033334,6.78340327633486e-05
102,5.86109828669,0.000150910560212,3.220548793756667,8.292215174174682e-05
103,5.862117605566667,0.0001230112098407,3.22110888738,6.759203970973035e-05
104,5.860255797376667,0.0001920542614662,3.2200858637800005,0.0001055297149723
105,5.861398730233334,0.000120735087268,3.220713881006667,6.634136697793633e-05
106,5.861545580966668,0.0001334988624839,3.2207945724066667,7.335474218717232e-05
107,5.861844518559999,0.0001291320441916,3.220958832423334,7.095531145951087e-05
108,5.861821644013333,0.0001462472917608,3.2209462630000005,8.035978561738069e-05
109,5.861962738283333,0.0001379892323316,3.2210237912566666,7.582216819612326e-05
110,5.86238602622,0.0001568662135043,3.22125637909,8.619464919286271e-05
111,5.86242218584,0.0001506724125904,3.2212762478066668,8.27912662980273e-05
112,5.86297544758,0.0001053540697993,3.22158025357,5.788984975820265e-05
113,5.8620631739733335,0.0001527756776741,3.2210789789566663,8.394699645124541e-05
114,5.862455108260001,0.0001630680890988,3.221294338006667,8.960244133536231e-05
115,5.861915512423334,0.0001755612182365,3.220997842056667,9.646716506541462e-05
116,5.862859501493333,0.0001245148930074,3.2215165438033333,6.84182909030607e-05
117,5.862650566839999,0.0001787275382128,3.22140173866,9.82069865213324e-05
118,5.863405832113333,0.0001035883394626,3.2218167407466667,5.6919580404074027e-05
119,5.86373426277,0.0001379288292507,3.221997206443334,7.578896993446249e-05
120,5.863016999043334,0.0001825593245013,3.2216030851666666,0.0001003124662267
121,5.863670435843334,0.000168958793245,3.221962135163333,9.283926110725028e-05
122,5.863331086543333,0.0001617370291021,3.2217756697933333,8.88710345499562e-05
123,5.8651814708700005,0.0001872009326731,3.22279241663,0.0001028629158914
124,5.863176785116666,0.0001605498596476,3.221690884343333,8.821874843022266e-05
125,5.863619122869999,0.0001680767003491,3.221933939356666,9.23545613893757e-05
126,5.863234843546668,0.0001665505542759,3.2217227857466666,9.151597430561464e-05
127,5.865318257986667,0.0001614758903266,3.2228675783666665,8.872758575889316e-05
128,5.863136934273333,0.00018064789533,3.221668986883333,9.926216063796868e-05
129,5.86492793976,0.000173109438903,3.222653106693333,9.511994934808744e-05
130,5.864512631423333,0.0001575932402806,3.222424903596667,8.659414401336608e-05
131,5.864843650636667,0.0001733672802491,3.2226067910966667,9.526157773018933e-05
