temperature,G alpha,G beta
79,-4.767429136061722,-3.8407021397484127
80,-4.7898601062944,-3.850351014984255
81,-4.813126994424228,-3.86004451880722
82,-4.836906721569362,-3.869700710504591
83,-4.85928113472745,-3.879378148501719
84,-4.881746209552475,-3.8891019532145124
85,-4.9056686690271105,-3.898874452533711
86,-4.930206249697512,-3.9086660752367135
87,-4.954419634068706,-3.918397978067341
88,-4.978224488739345,-3.928003840301725
89,-5.0020245967843096,-3.937676896841792
90,-5.026270484361508,-3.9474753614191576
91,-5.050767811625918,-3.9572506901394124
92,-5.074736973888586,-3.966914844467054
93,-5.098033456432659,-3.976653360645922
94,-5.121080245426562,-3.986349936190258
95,-5.144287378960675,-3.9961697695838176
96,-5.168214033611839,-4.0057999242237115
97,-5.191893771524661,-4.015524689416642
98,-5.215537536185544,-4.025255115152412
99,-5.238961007141296,-4.034960010243562
100,-5.262352883156895,-4.044671317419019
101,-5.285077504223107,-4.054465319983819
102,-5.307231417957396,-4.0640899436496705
103,-5.329484438849541,-4.073861105472172
104,-5.352048898162182,-4.083578860285576
105,-5.374963850182716,-4.093347562285319
106,-5.397656977624838,-4.103065482966374
107,-5.4205818764238085,-4.112803627305371
108,-5.4435512570966855,-4.122579788875196
109,-5.465835735695399,-4.13234340258459
110,-5.488606712716695,-4.142066344186547
111,-5.511494144304318,-4.151811000374677
112,-5.534005777779743,-4.161564143290634
113,-5.556987105648837,-4.171291961844423
114,-5.580423618340449,-4.181049602457294
115,-5.6032055578987725,-4.190832862420805
116,-5.625685204661655,-4.20058525851236
117,-5.648004654146728,-4.210339638128812
118,-5.670961751706974,-4.22012941005508
119,-5.6943027811137625,-4.229853446515661
120,-5.717073433501242,-4.239576808948946
121,-5.739764908827668,-4.249384028863525
122,-5.76243690125955,-4.259114080700826
123,-5.78551517983323,-4.2659953222964
124,-5.808805023496644,-4.2785978275862755
125,-5.832430421173627,-4.2883790121884875
126,-5.85585749179317,-4.29820051071601
127,-5.878956932007543,-4.3051126169639256
128,-5.902301224285402,-4.317743163270118
129,-5.925148811588562,-4.327560038416506
130,-5.947828643699502,-4.337317019963525
131,-5.970391163589969,-4.347085894707302
132,-5.993948619141898,-4.35400840018585
133,-6.017977215916345,-4.366613141630893
134,-6.041052658900968,-4.376477776019165
135,-6.064332031812464,-4.386239224853298
136,-6.087537375514729,-4.396059297324049
137,-6.111328998148981,-4.405838715597155
138,-6.13567003078801,-4.415677917692737
139,-6.159423080066266,-4.425460773841823
140,-6.182998588311697,-4.4352366289174086
141,-6.204007010411608,-4.445024309845592
142,-6.2285466391762085,-4.451868101548337
143,-6.2519413952726515,-4.4645969057256245
144,-6.275401936619159,-4.474393917448693
145,-6.298297510349942,-4.4842960033023385
146,-6.321126858388939,-4.489322652561661
147,-6.34409196549285,-4.503907966710158
148,-6.367351156291348,-4.513670434746469
149,-6.390656912476739,-4.520639285535663
150,-6.413671893406821,-4.533354790085337
151,-6.43725170489209,-4.543162715707252
152,-6.460980269236389,-4.552992687933029
153,-6.484738974066469,-4.562788045368002
154,-6.508403235789804,-4.572634878003343
155,-6.531765065927299,-4.582372239424345
156,-6.555596087056509,-4.5922599302766365
157,-6.579348063914916,-4.602100761709925
158,-6.602957948915886,-4.611946267533187
159,-6.626496401786888,-4.621794681669721
160,-6.650334471859654,-4.631511620770815
161,-6.6737153315055435,-4.64141895927332
162,-6.696917959758309,-4.6484611783573335
163,-6.720221568996367,-4.661081707311626
164,-6.7442664223526965,-4.670939567692176
165,-6.768129369295293,-4.677274669564335
166,-6.7920391937931734,-4.687838768462601
167,-6.815812279667865,-4.700567497232011
168,-6.839128905173309,-4.708141135911621
169,-6.862286610782854,-4.721128006553275
170,-6.8861118380824315,-4.720150554350895
171,-6.910374171907691,-4.740770771564412
172,-6.933277092046407,-4.74777584216371
173,-6.956574698626512,-4.760507882710057
174,-6.980341649334293,-4.770324720592883
175,-7.003716349911026,-4.780164355593021
176,-7.027140593903951,-4.790097652307305
177,-7.050639212987805,-4.797054607340545
178,-7.0741202746791645,-4.8098001724669475
179,-7.098694490468245,-4.816772069428621
180,-7.122759058710714,-4.829553240371849
181,-7.143313556088132,-4.839428365823364
182,-7.168283530299174,-4.849228545345993
183,-7.1914665321507165,-4.853881710489503
184,-7.215057079703171,-4.86510306025698
185,-7.238844151689096,-4.878829216882487
186,-7.26244698301546,-4.888693887160882
187,-7.28305918819408,-4.898616705504537
188,-7.308359469235465,-4.908446501064519
189,-7.330920473406848,-4.918371058314781
190,-7.353778216175185,-4.928195325690492
191,-7.376834419734,-4.930359074306812
192,-7.399872406769145,-4.9464120284779325
193,-7.422839617525023,-4.959165063141393
194,-7.446105269854379,-4.969066394712915
